OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
109478,7.17113E+18,7,1,43,29,2017,11,8,7,3,2,2,0,1,0,0,0,0,1,4.09793E+20,5.60332E+21,7.72603E+15,5.05748E+16
109479,7.17121E+18,7,3,34,501,2017,12,14,6,2,4,2,0,1,0,0,0,0,1,4.43247E+20,5.43114E+21,8.2236E+15,4.90306E+16
109480,7.17122E+18,7,1,11,0,2017,12,17,2,2,4,6,0,1,0,0,0,2,1,3.97119E+20,5.5775E+21,7.55419E+15,5.03406E+16
109481,7.17113E+18,7,1,38,41,2017,11,15,7,3,5,3,0,1,0,0,0,0,1,3.78761E+20,5.60344E+21,7.28791E+15,5.05702E+16
109482,7.17113E+18,7,1,31,7,2017,11,15,7,3,9,1,0,1,0,0,0,1,1,3.65772E+20,5.59624E+21,7.10719E+15,5.05027E+16
109483,7.17121E+18,7,3,34,7,2017,12,14,6,3,8,1,0,1,0,0,0,0,1,4.52496E+20,5.45059E+21,8.34783E+15,4.92063E+16
109484,7.17121E+18,7,3,37,72,2017,12,16,6,2,2,1,0,0,0,1,1,1,1,4.24962E+20,5.43216E+21,7.9733E+15,4.90377E+16
109485,7.17121E+18,7,3,37,9,2017,12,18,6,3,5,3,0,1,0,0,0,2,1,4.30335E+20,5.45091E+21,8.04357E+15,4.9207E+16
109486,7.17121E+18,7,3,38,6,2017,12,6,6,3,0,4,0,0,1,1,0,2,1,4.507E+20,5.47471E+21,8.32019E+15,4.94231E+16
109487,7.17121E+18,7,3,38,16,2017,12,19,6,2,5,3,0,1,0,0,0,2,0,4.48959E+20,5.48574E+21,8.29477E+15,4.95221E+16
109488,7.17121E+18,7,3,11,0,2017,12,18,6,3,2,6,0,1,0,0,0,2,1,4.53376E+20,5.48845E+21,8.35547E+15,4.95468E+16
