OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
202864,11,0,7,7,2018,7,16,2,2,2,1,0,0,1,0,0,0,0,0,7.99961E+20,5.82043E+21,1.34151E+16,5.24515E+16
202865,11,0,3,3,2018,7,21,4,3,5,2,0,1,1,0,0,0,0,0,7.98075E+20,5.83581E+21,1.34012E+16,5.25904E+16
202866,11,0,5,5,2018,7,12,6,3,0,1,0,1,0,0,0,0,0,0,7.83537E+20,5.82916E+21,1.31815E+16,5.25386E+16
202867,11,0,11,11,2018,7,19,4,3,5,2,0,0,1,0,1,0,0,0,8.05477E+20,5.83162E+21,1.35062E+16,5.25487E+16
202868,11,0,1,1,2018,7,7,2,3,3,6,0,1,0,0,0,0,1,0,7.97168E+20,5.82764E+21,1.33805E+16,5.25177E+16
202869,11,0,7,7,2018,7,18,4,3,2,6,0,0,1,0,0,0,1,0,7.99049E+20,5.81907E+21,1.34005E+16,5.24399E+16
202870,11,0,8,8,2018,7,12,6,3,2,2,0,0,0,0,1,0,1,0,8.04084E+20,5.81927E+21,1.34745E+16,5.24389E+16
202871,11,0,1,1,2018,7,12,6,3,5,2,0,0,1,0,1,0,0,0,7.96113E+20,5.82672E+21,1.33642E+16,5.251E+16
202872,11,0,7,7,2018,7,18,4,3,5,3,0,0,1,0,0,0,0,0,7.93705E+20,5.82165E+21,1.33243E+16,5.24658E+16
202873,11,0,4,4,2018,7,6,2,3,5,2,0,0,0,0,1,0,1,0,7.92293E+20,5.82537E+21,1.33069E+16,5.25E+16
202874,11,0,3,3,2018,7,18,4,3,5,3,0,1,1,0,0,0,0,0,7.99425E+20,5.83788E+21,1.34229E+16,5.26082E+16
202875,11,0,12,12,2018,7,11,6,3,1,5,0,1,1,0,0,0,0,0,7.94834E+20,5.83287E+21,1.33508E+16,5.25658E+16
202876,11,0,9,9,2018,7,18,4,3,6,4,0,0,1,1,0,0,0,0,8.1104E+20,5.82185E+21,1.35789E+16,5.24581E+16
202877,11,0,11,11,2018,7,11,6,3,2,6,0,0,0,0,1,0,0,1,8.0408E+20,5.82869E+21,1.3483E+16,5.25232E+16
202878,11,0,9,9,2018,7,8,2,3,2,6,0,1,1,0,0,0,0,0,8.08411E+20,5.81873E+21,1.35375E+16,5.24316E+16
202879,11,0,4,4,2018,7,17,4,3,5,2,0,1,1,0,0,0,0,0,7.93448E+20,5.8245E+21,1.33231E+16,5.24916E+16
202880,11,0,3,3,2018,7,8,2,3,0,3,0,1,1,0,0,0,0,0,7.99495E+20,5.83178E+21,1.34184E+16,5.25535E+16
202881,11,0,1,1,2018,7,16,6,3,5,3,0,0,0,0,1,0,1,0,7.95865E+20,5.83206E+21,1.33653E+16,5.2558E+16
202882,11,0,4,4,2018,7,10,6,3,6,7,0,0,1,1,0,0,0,1,7.91737E+20,5.82483E+21,1.32982E+16,5.24954E+16
202883,11,0,3,3,2018,7,17,4,3,5,3,0,1,1,0,0,0,0,0,7.98492E+20,5.83539E+21,1.34069E+16,5.25864E+16
202884,11,0,1,1,2018,7,8,2,3,2,2,0,0,1,0,0,0,0,0,7.99731E+20,5.82758E+21,1.34181E+16,5.25157E+16
202885,11,0,2,2,2018,7,20,4,3,1,5,0,0,1,0,0,0,1,0,7.98519E+20,5.82462E+21,1.33977E+16,5.24899E+16
202886,11,0,3,3,2018,7,9,6,3,5,2,0,1,1,0,0,0,0,0,8.00351E+20,5.83377E+21,1.34328E+16,5.25708E+16
202887,11,0,2,2,2018,7,20,4,2,6,4,0,1,0,1,0,0,0,0,8.02344E+20,5.82709E+21,1.34561E+16,5.25099E+16
202888,11,0,5,5,2018,7,9,6,3,0,1,0,0,0,0,1,0,0,0,7.84759E+20,5.82726E+21,1.31978E+16,5.25209E+16
202889,11,0,6,6,2018,7,8,2,3,1,5,0,0,1,0,1,0,0,0,7.93133E+20,5.8217E+21,1.3316E+16,5.24666E+16
202890,11,0,1,1,2018,7,20,4,2,5,2,0,0,1,0,1,0,0,0,7.97147E+20,5.8318E+21,1.33839E+16,5.2555E+16
202891,11,0,9,9,2018,7,7,6,3,2,6,0,0,1,0,0,1,0,1,8.09779E+20,5.82046E+21,1.35591E+16,5.24463E+16
202892,11,0,3,3,2018,7,6,6,3,5,3,0,1,1,0,0,0,0,0,7.99749E+20,5.83175E+21,1.34221E+16,5.25531E+16
202893,11,0,2,2,2018,7,0,2,3,0,1,2,0,0,0,1,0,0,0,7.99914E+20,5.82599E+21,1.34194E+16,5.25014E+16
202894,11,0,1,1,2018,7,8,4,3,0,2,0,1,1,0,0,0,0,0,7.97131E+20,5.82786E+21,1.33802E+16,5.25197E+16
202895,11,0,1,1,2018,7,16,2,3,5,3,0,0,1,0,0,0,1,0,7.98315E+20,5.82937E+21,1.33989E+16,5.25326E+16
202896,11,0,3,3,2018,7,2,4,3,1,5,2,0,1,0,0,0,0,0,8.01471E+20,5.83023E+21,1.34461E+16,5.25385E+16
202897,11,0,1,1,2018,7,17,5,3,5,2,0,0,1,0,0,0,0,1,7.963E+20,5.83067E+21,1.33705E+16,5.25453E+16
202898,11,0,6,6,2018,7,19,1,3,1,5,0,0,1,0,0,0,0,0,7.89828E+20,5.81872E+21,1.32649E+16,5.24416E+16
202899,11,0,6,6,2018,7,17,4,3,2,6,0,0,1,0,0,0,1,0,7.93749E+20,5.81835E+21,1.33221E+16,5.24362E+16
202900,11,0,1,1,2018,7,14,1,3,5,7,0,0,1,0,1,0,0,0,7.97651E+20,5.83079E+21,1.33904E+16,5.25456E+16
202901,11,0,7,7,2018,7,17,5,2,5,2,0,0,1,0,1,0,0,0,7.97681E+20,5.81932E+21,1.33806E+16,5.24428E+16
202902,11,0,1,1,2018,7,19,1,2,5,2,0,0,1,0,0,0,0,0,7.99737E+20,5.82757E+21,1.34182E+16,5.25156E+16
